"Paper","Total Citations","TC per Year"
"BIRMINGHAM CL, 2005, INT J EATING DISORD","201","12.5625"
"KILLEN JD, 1993, INT J EATING DISORD","201","7.1786"
"WILFLEY DE, 2003, INT J EATING DISORD","198","11.0000"
"NICHOLLS D, 2000, INT J EATING DISORD","198","9.4286"
"BEREN SE, 1996, INT J EATING DISORD","198","7.9200"
"POWELL AD, 1995, INT J EATING DISORD","197","7.5769"
"TELCH CF, 1994, INT J EATING DISORD","197","7.2963"
"MACHADO PPP, 2007, INT J EATING DISORD","196","14.0000"
"DE ZWAAN M, 1994, INT J EATING DISORD","195","7.2222"
"GANLEY RM, 1989, INT J EATING DISORD","195","6.0938"
"SWINBOURNE JM, 2007, EUR EATING DISORD REV","194","13.8571"
"MASHEB RM, 2006, INT J EATING DISORD-a","193","12.8667"
"FRENCH SA, 1996, INT J EATING DISORD","193","7.7200"
"HEWITT PL, 1995, INT J EATING DISORD","190","7.3077"
"SCHOEMAKER C, 1994, INT J EATING DISORD","189","7.0000"
"ALLISON DB, 1991, INT J EATING DISORD","189","6.3000"
"FABIAN LJ, 1989, INT J EATING DISORD","189","5.9062"
"RUSSELL CJ, 2002, INT J EATING DISORD","187","9.8421"
"LOXTON NJ, 2001, INT J EATING DISORD","187","9.3500"
"ALLISON KC, 2010, INT J EATING DISORD","186","16.9091"
"RIEGER E, 2002, INT J EATING DISORD","186","9.7895"
"RIZVI SL, 2000, INT J EATING DISORD","185","8.8095"
"STRIEGEL-MOORE RH, 2000, INT J EATING DISORD","185","8.8095"
"SHROFF H, 2006, INT J EATING DISORD","183","12.2000"
"WONDERLICH SA, 2009, INT J EATING DISORD","182","15.1667"
"EDDY KT, 2002, INT J EATING DISORD","182","9.5789"
"THOMPSON JK, 1999, INT J EATING DISORD","182","8.2727"
"PASMAN L, 1988, INT J EATING DISORD","182","5.5152"
"TIGGEMANN M, 2013, INT J EATING DISORD","181","22.6250"
"BRYANT-WAUGH R, 2010, INT J EATING DISORD","181","16.4545"
"WILFLEY DE, 2000, INT J EATING DISORD","181","8.6190"
"POWERS PS, 1999, INT J EATING DISORD","181","8.2273"
"JOHNSON CL, 1982, INT J EATING DISORD","181","4.6410"
"GEORGE HSU LK, 1996, INT J EATING DISORD","180","7.2000"
"GRILO CM, 2009, INT J EATING DISORD","179","14.9167"
"STICE E, 2000, INT J EATING DISORD","179","8.5238"
"STORMER SM, 1996, INT J EATING DISORD","179","7.1600"
"EVANS C, 1993, INT J EATING DISORD","178","6.3571"
"VAN STRIEN T, 2008, INT J EATING DISORD","177","13.6154"
"MARCUS MD, 1990, INT J EATING DISORD","177","5.7097"
"REAS DL, 2002, INT J EATING DISORD","176","9.2632"
"JOHNSON C, 1999, INT J EATING DISORD","176","8.0000"
"FICHTER MM, 1998, INT J EATING DISORD","174","7.5652"
"STRIEGEL-MOOREL RH, 2003, INT J EATING DISORD","173","9.6111"
"BRUCE B, 1992, INT J EATING DISORD","173","5.9655"
"MOND JM, 2004, INT J EATING DISORD","172","10.1176"
"DOLAN B, 1991, INT J EATING DISORD","172","5.7333"
"DAVISON KK, 2003, INT J EATING DISORD","171","9.5000"
"CROW SJ, 2002, INT J EATING DISORD","171","9.0000"
"BLOUIN AG, 1995, INT J EATING DISORD","171","6.5769"
"GRILO CM, 2004, INT J EATING DISORD","170","10.0000"
"SHAFRAN R, 2004, INT J EATING DISORD","170","10.0000"
"COUTURIER J, 2013, INT J EATING DISORD-a","169","21.1250"
"TIGGEMANN M, 2004, INT J EATING DISORD","168","9.8824"
"VOLKOW ND, 2003, INT J EATING DISORD","168","9.3333"
"SMOLAK L, 2002, INT J EATING DISORD","167","8.7895"
"GELLER J, 2000, INT J EATING DISORD-a-b","167","7.9524"
"NIEGO SH, 2007, INT J EATING DISORD","166","11.8571"
"FELDMAN MB, 2007, INT J EATING DISORD-a","166","11.8571"
"FAIRBURN CG, 2005, INT J EATING DISORD","166","10.3750"
"FASSINO S, 2002, INT J EATING DISORD","166","8.7368"
"WILSON GT, 1993, INT J EATING DISORD","166","5.9286"
"MARCUS MD, 2003, INT J EATING DISORD","165","9.1667"
"VOCKS S, 2010, INT J EATING DISORD","164","14.9091"
"TELCH CF, 1988, INT J EATING DISORD","164","4.9697"
"SMINK FRE, 2014, INT J EATING DISORD","162","23.1429"
"BULIK CM, 2000, INT J EATING DISORD","160","7.6190"
"LEVINE MP, 1994, INT J EATING DISORD","160","5.9259"
"DANSKY BS, 1997, INT J EATING DISORD","159","6.6250"
"NOBLE EP, 1994, INT J EATING DISORD","159","5.8889"
"STROBER M, 1990, INT J EATING DISORD","159","5.1290"
"VALL E, 2015, INT J EATING DISORD","158","26.3333"
"LEWINSOHN PM, 2002, INT J EATING DISORD","158","8.3158"
"KATZMAN MA, 1997, INT J EATING DISORD","158","6.5833"
"CARTER JC, 1997, INT J EATING DISORD","158","6.5833"
"ANESTIS MD, 2007, INT J EATING DISORD","157","11.2143"
"STEIN RI, 2007, INT J EATING DISORD","157","11.2143"
"STROTHER E, 2012, EATING DISORD","157","17.4444"
"BREWERTON TD, 2007, EATING DISORD","156","11.1429"
"PROBST M, 1995, EATING DISORD","155","5.9615"
"TANOFSKY-KRAFF M, 2009, INT J EATING DISORD","154","12.8333"
"VESTERGAARD P, 2002, INT J EATING DISORD","154","8.1053"
"SCHUR EA, 2000, INT J EATING DISORD","154","7.3333"
"SHISSLAK CM, 1999, INT J EATING DISORD","154","7.0000"
"KLESGES RC, 1988, INT J EATING DISORD","154","4.6667"
"SMOLAK L, 2001, INT J EATING DISORD","153","7.6500"
"NORRIS ML, 2006, INT J EATING DISORD","152","10.1333"
"NEUMÃ¤RKER K-J, 1997, INT J EATING DISORD","152","6.3333"
"HAY P, 1998, INT J EATING DISORD","151","6.5652"
"TAYLOR CB, 1998, INT J EATING DISORD","150","6.5217"
"SHORE RA, 1990, INT J EATING DISORD","150","4.8387"
"HAY P, 2013, INT J EATING DISORD","149","18.6250"
"LE GRANGE D, 2010, INT J EATING DISORD","149","13.5455"
"MORGAN CM, 2002, INT J EATING DISORD","149","7.8421"
"POLIVY J, 1999, INT J EATING DISORD-a","149","6.7727"
"TIGGEMANN M, 2003, EUR EATING DISORD REV","148","8.2222"
"AGRANAT-MEGED AN, 2005, INT J EATING DISORD","147","9.1875"
"TELCH CF, 1996, INT J EATING DISORD","147","5.8800"
"COCHRANE CE, 1993, INT J EATING DISORD","147","5.2500"
"WOLFE BE, 2009, INT J EATING DISORD","146","12.1667"
"SHAFRAN R, 2007, INT J EATING DISORD","146","10.4286"
"FISCHER S, 2003, INT J EATING DISORD","146","8.1111"
"BYELY L, 2000, INT J EATING DISORD","146","6.9524"
"SMITH DE, 1999, INT J EATING DISORD","146","6.6364"
"STICE E, 1999, INT J EATING DISORD","146","6.6364"
"DONINI LM, 2005, EATING WEIGHT DISORD","146","9.1250"
"WILDES JE, 2010, INT J EATING DISORD","145","13.1818"
"ROSVAL L, 2006, INT J EATING DISORD","145","9.6667"
"COUTURIER J, 2006, INT J EATING DISORD","145","9.6667"
"YANOVSKI SZ, 2003, INT J EATING DISORD","145","8.0556"
"STICE E, 2003, INT J EATING DISORD","145","8.0556"
"RAND CSW, 1990, INT J EATING DISORD","145","4.6774"
"ROSEN JC, 1990, INT J EATING DISORD","145","4.6774"
"HEBEBRAND J, 1996, INT J EATING DISORD","144","5.7600"
"COOPER PJ, 1993, INT J EATING DISORD","144","5.1429"
"MILLER KJ, 2000, INT J EATING DISORD","143","6.8095"
"DECALUWÃ© V, 2003, INT J EATING DISORD","142","7.8889"
"PEÃ±AS-LLEDÃ³ E, 2002, INT J EATING DISORD-a-b","142","7.4737"
"BRAUN DL, 1999, INT J EATING DISORD","142","6.4545"
"TERENCE WILSON G, 1989, INT J EATING DISORD","142","4.4375"
"GRAY JJ, 1987, INT J EATING DISORD","142","4.1765"
"KLESGES RC, 1986, INT J EATING DISORD","142","4.0571"
"SCHENCK CH, 1994, INT J EATING DISORD","141","5.2222"
"STROBER M, 1981, INT J EATING DISORD","141","3.5250"
"WAXMAN SE, 2009, EUR EATING DISORD REV","141","11.7500"
"BULIK CM, 1995, INT J EATING DISORD","140","5.3846"
"CONNORS ME, 1993, INT J EATING DISORD","140","5.0000"
"TIGGEMANN M, 1998, INT J EATING DISORD","139","6.0435"
"KUCHARSKA-PIETURA K, 2004, INT J EATING DISORD","138","8.1176"
"LEVINE MD, 2001, INT J EATING DISORD","137","6.8500"
"COOLEY E, 2001, INT J EATING DISORD","137","6.8500"
"HSU LKG, 1997, INT J EATING DISORD","137","5.7083"
"VAN FURTH EF, 1996, INT J EATING DISORD","137","5.4800"
"ALEGRIA M, 2007, INT J EATING DISORD","136","9.7143"
"BARDONE-CONE AM, 2007, INT J EATING DISORD","136","9.7143"
"TOZZI F, 2003, INT J EATING DISORD","136","7.5556"
"STRIEGEL-MOORE RH, 2000, INT J EATING DISORD-a","136","6.4762"
"KENT A, 1999, INT J EATING DISORD","135","6.1364"
"EPLING WF, 1983, INT J EATING DISORD","135","3.5526"
"LOPEZ C, 2008, INT J EATING DISORD","134","10.3077"
"STICE E, 2003, INT J EATING DISORD-a","134","7.4444"
"DONINI LM, 2004, EATING WEIGHT DISORD","134","7.8824"
"WILFLEY DE, 2007, INT J EATING DISORD","133","9.5000"
"VAN SON GE, 2006, INT J EATING DISORD","133","8.8667"
"MOND JM, 2006, INT J EATING DISORD","133","8.8667"
"SMOLAK L, 1994, INT J EATING DISORD","133","4.9259"
"GUNSTAD J, 2006, EATING WEIGHT DISORD","133","8.8667"
"TILLER JM, 1997, INT J EATING DISORD","132","5.5000"
"VANDERLINDEN J, 1993, INT J EATING DISORD","132","4.7143"
"GOOSSENS L, 2009, EUR EATING DISORD REV","132","11.0000"
"WAGNER A, 2006, INT J EATING DISORD","131","8.7333"
"SYPECK MF, 2004, INT J EATING DISORD","131","7.7059"
"AGRAS WS, 2004, INT J EATING DISORD","131","7.7059"
"LUCAS AR, 1999, INT J EATING DISORD","131","5.9545"
"STRIEGEL-MOORE RH, 1998, INT J EATING DISORD","131","5.6957"
"ELDREDGE KL, 1996, INT J EATING DISORD-a","131","5.2400"
"WONDERLICH SA, 1990, INT J EATING DISORD","131","4.2258"
"POPE HG, 1984, INT J EATING DISORD","131","3.5405"
"ACKARD DM, 2000, INT J EATING DISORD","130","6.1905"
"ROSEN JC, 1986, INT J EATING DISORD","130","3.7143"
"WALLER G, 2000, INT J EATING DISORD","129","6.1429"
"ALLAZ A-F, 1998, INT J EATING DISORD","129","5.6087"
"GARD MCE, 1996, INT J EATING DISORD","129","5.1600"
"BEUMONT PJV, 1994, INT J EATING DISORD-a","129","4.7778"
"TURNER H, 2004, EUR EATING DISORD REV","129","7.5882"
"STICE E, 2001, INT J EATING DISORD-a","128","6.4000"
"GRIEVE FG, 2007, EATING DISORD","128","9.1429"
"MEANY G, 2014, EUR EATING DISORD REV","128","18.2857"
"ROSSITER EM, 1993, INT J EATING DISORD","127","4.5357"
"LEWIS DM, 2001, EATING DISORD","127","6.3500"
"KEEL PK, 2005, INT J EATING DISORD","126","7.8750"
"POWERS PS, 2002, INT J EATING DISORD","126","6.6316"
"STICE E, 2001, INT J EATING DISORD","126","6.3000"
"FURNHAM A, 1994, INT J EATING DISORD","126","4.6667"
"FICHTER MM, 1999, INT J EATING DISORD","125","5.6818"
"BREWERTON TD, 1993, INT J EATING DISORD","125","4.4643"
"CELIO AA, 2004, INT J EATING DISORD","124","7.2941"
"HAWKINS N, 2004, EATING DISORD","124","7.2941"
"FREEMAN LMY, 2004, INT J EATING DISORD","123","7.2353"
"WONDERLICH SA, 2001, INT J EATING DISORD","123","6.1500"
"GÃ¶TESTAM KG, 1995, INT J EATING DISORD","123","4.7308"
"HILBERT A, 2007, INT J EATING DISORD","122","8.7143"
"ADKINS EC, 2005, INT J EATING DISORD","122","7.6250"
"DANSKY BS, 2000, INT J EATING DISORD","122","5.8095"
"STRIEGEL-MOORE RH, 2000, INT J EATING DISORD-a-b","122","5.8095"
"AGRAS S, 1999, INT J EATING DISORD","122","5.5455"
"RIEGER E, 1998, INT J EATING DISORD","122","5.3043"
"DEEP AL, 1995, INT J EATING DISORD","122","4.6923"
"POLIVY J, 2005, INT J EATING DISORD","121","7.5625"
"FITZGIBBON ML, 1998, INT J EATING DISORD","121","5.2609"
"GREENO CG, 1995, INT J EATING DISORD","121","4.6538"
"HSU LKG, 1991, INT J EATING DISORD","121","4.0333"
"WEAR RW, 1987, INT J EATING DISORD","121","3.5588"
"WILFLEY DE, 1996, INT J EATING DISORD","120","4.8000"
"WURTMAN JJ, 1981, INT J EATING DISORD","120","3.0000"
"WARREN CS, 2005, INT J EATING DISORD","119","7.4375"
"TCHANTURIA K, 2005, INT J EATING DISORD","119","7.4375"
"ISNARD P, 2003, INT J EATING DISORD","119","6.6111"
"BULIK CM, 2003, INT J EATING DISORD-a","119","6.6111"
"BECKER AE, 2003, INT J EATING DISORD-a","119","6.6111"
"PINHAS L, 1999, INT J EATING DISORD","119","5.4091"
"ROLLAND K, 1997, INT J EATING DISORD","119","4.9583"
"THOMPSON SH, 1997, INT J EATING DISORD","119","4.9583"
"FURNHAM A, 1998, EUR EATING DISORD REV","119","5.1739"
"MABE AG, 2014, INT J EATING DISORD","118","16.8571"
"CACHELIN FM, 2006, INT J EATING DISORD","118","7.8667"
"HALMI KA, 2005, INT J EATING DISORD","118","7.3750"
"BREWERTON TD, 1995, INT J EATING DISORD","118","4.5385"
"BENÂ€TOVIM DI, 1989, INT J EATING DISORD","118","3.6875"
"HILL LS, 2010, INT J EATING DISORD","117","10.6364"
"MOND JM, 2007, INT J EATING DISORD-a","117","8.3571"
"KESSLER H, 2006, INT J EATING DISORD","117","7.8000"
"HAGAN MM, 2003, INT J EATING DISORD","117","6.5000"
"KUEHNEL RH, 1994, INT J EATING DISORD","117","4.3333"
"AGRAS WS, 1987, INT J EATING DISORD","117","3.4412"
"DARE C, 2000, EUR EATING DISORD REV-a","117","5.5714"
"ZIPFEL S, 2002, INT J EATING DISORD","116","6.1053"
"NOBAKHT M, 2000, INT J EATING DISORD","116","5.5238"
"KALARCHIAN MA, 1998, INT J EATING DISORD","116","5.0435"
"EBERENZ KP, 1994, INT J EATING DISORD","116","4.2963"
"ZABALA MJ, 2009, EUR EATING DISORD REV","116","9.6667"
"FONTAINE KR, 2000, INT J EATING DISORD","115","5.4762"
"SPURRELL EB, 1997, INT J EATING DISORD","115","4.7917"
"BRAND PA, 1992, INT J EATING DISORD","115","3.9655"
"STRIEGELÂ€MOORE R, 1986, INT J EATING DISORD","115","3.2857"
"BUTTON EJ, 1997, INT J EATING DISORD","114","4.7500"
"MCDONALD K, 1992, INT J EATING DISORD","114","3.9310"
"FEDERICI A, 2008, EUR EATING DISORD REV","114","8.7692"
"KEEL PK, 2013, INT J EATING DISORD","113","14.1250"
"BRAVENDER T, 2007, INT J EATING DISORD","113","8.0714"
"HALMI KA, 2003, INT J EATING DISORD","113","6.2778"
"WEGNER KE, 2002, INT J EATING DISORD","113","5.9474"
"MUSSELL MP, 1995, INT J EATING DISORD","113","4.3462"
"SUNDAY SR, 1995, INT J EATING DISORD","113","4.3462"
"BROTSKY SR, 2007, EATING DISORD","113","8.0714"
"STROBER M, 2004, INT J EATING DISORD-a","112","6.5882"
"WADE TD, 2003, INT J EATING DISORD","112","6.2222"
"OHRING R, 2002, INT J EATING DISORD","112","5.8947"
"NEUMARK-SZTAINER D, 2000, INT J EATING DISORD","112","5.3333"
"SKODOL AE, 1993, INT J EATING DISORD","112","4.0000"
"SCHWARTZ DM, 1982, INT J EATING DISORD","112","2.8718"
"RODGERS R, 2009, EUR EATING DISORD REV","112","9.3333"
"CACHELIN FM, 2001, INT J EATING DISORD","111","5.5500"
"CARTER JC, 2001, INT J EATING DISORD","111","5.5500"
"MASHEB RM, 2001, INT J EATING DISORD","111","5.5500"
"MURNEN SK, 1997, INT J EATING DISORD","111","4.6250"
"POLIVY J, 1992, INT J EATING DISORD","111","3.8276"
"TREASURE J, 1997, EUR EATING DISORD REV","111","4.6250"
"HEPWORTH N, 2007, INT J EATING DISORD","110","7.8571"
"STRIEGEL-MOORE RH, 2001, INT J EATING DISORD-a","110","5.5000"
"KALARCHIAN MA, 2000, INT J EATING DISORD","110","5.2381"
"FRENCH SA, 1997, INT J EATING DISORD","110","4.5833"
"LINGSWILER VM, 1989, INT J EATING DISORD","110","3.4375"
"FELD R, 2001, INT J EATING DISORD","109","5.4500"
"HADIGAN CM, 2000, INT J EATING DISORD","109","5.1905"
"ADAMI GF, 1995, INT J EATING DISORD","109","4.1923"
"SILVERSTEIN B, 1986, INT J EATING DISORD","109","3.1143"
"ROSENVINGE JH, 2000, EATING WEIGHT DISORD","109","5.1905"
"ROHDE P, 2015, INT J EATING DISORD","108","18.0000"
"STICE E, 2013, INT J EATING DISORD","108","13.5000"
"HARTMAN D, 2000, INT J EATING DISORD","108","5.1429"
"FOREYT JP, 1995, INT J EATING DISORD","108","4.1538"
"MARCUS MD, 1992, INT J EATING DISORD","108","3.7241"
"ATTIA E, 2009, INT J EATING DISORD","107","8.9167"
"RIEGER E, 2000, INT J EATING DISORD","107","5.0952"
"COWERS S, 1994, INT J EATING DISORD","107","3.9630"
"KILLEN JD, 1994, INT J EATING DISORD","107","3.9630"
"JOHNSON C, 1990, INT J EATING DISORD-a","107","3.4516"
"HSU LKG, 1987, INT J EATING DISORD","107","3.1471"
"MITCHELL KS, 2007, INT J EATING DISORD","106","7.5714"
"ENGEL SG, 2006, INT J EATING DISORD","106","7.0667"
"WONDERLICH SA, 2004, INT J EATING DISORD","106","6.2353"
"RICCA V, 2001, EATING WEIGHT DISORD","106","5.3000"
"MEYER C, 2011, EUR EATING DISORD REV-a","106","10.6000"
"MAHON J, 2000, EUR EATING DISORD REV","106","5.0476"
"CANETTI L, 2009, INT J EATING DISORD","105","8.7500"
"CHEN EY, 2008, INT J EATING DISORD","105","8.0769"
"CHAMORRO R, 2000, INT J EATING DISORD","105","5.0000"
"NANGLE DW, 1994, INT J EATING DISORD","105","3.8889"
"KYRIACOU O, 2008, INT J EATING DISORD","104","8.0000"
"MOND J, 2006, INT J EATING DISORD-a","104","6.9333"
"JACOBI C, 2004, INT J EATING DISORD","104","6.1176"
"MARSHALL HM, 2004, INT J EATING DISORD","104","6.1176"
"FASSINO S, 2002, INT J EATING DISORD-a","104","5.4737"
"TROOP NA, 1998, INT J EATING DISORD","104","4.5217"
"GOLDFEIN JA, 1993, INT J EATING DISORD","104","3.7143"
"CUZZOLARO M, 2006, EATING WEIGHT DISORD","104","6.9333"
"BAUER S, 2003, EUR EATING DISORD REV","104","5.7778"
"STRIEGEL RH, 2012, INT J EATING DISORD-a","103","11.4444"
"MURRAY SB, 2010, INT J EATING DISORD","103","9.3636"
"DELINSKY SS, 2006, INT J EATING DISORD","103","6.8667"
"TANOFSKY-KRAFF M, 2005, INT J EATING DISORD","103","6.4375"
"MONRO F, 2005, INT J EATING DISORD","103","6.4375"
"RIEGER E, 2005, INT J EATING DISORD","103","6.4375"
"KLUMP KL, 2003, INT J EATING DISORD","103","5.7222"
"KAYE WH, 2003, INT J EATING DISORD","103","5.7222"
"GRANT JE, 2002, INT J EATING DISORD","103","5.4211"
"THORNTON C, 1997, INT J EATING DISORD","103","4.2917"
"LEE AM, 1996, INT J EATING DISORD","103","4.1200"
"FORNARI V, 1992, INT J EATING DISORD","103","3.5517"
"VITOUSEK KB, 1991, INT J EATING DISORD","103","3.4333"
"WILSON GT, 2010, EUR EATING DISORD REV","103","9.3636"
"MCCABE MP, 2001, EUR EATING DISORD REV","103","5.1500"
"KEEL PK, 2011, INT J EATING DISORD","102","10.2000"
"SANDS ER, 2003, INT J EATING DISORD","102","5.6667"
"CALAM R, 1990, INT J EATING DISORD","102","3.2903"
"GROSS J, 1988, INT J EATING DISORD","102","3.0909"
"TCHANTURIA K, 2002, EATING WEIGHT DISORD","102","5.3684"
"OGDEN J, 1996, EUR EATING DISORD REV","102","4.0800"
"LOCK J, 2006, INT J EATING DISORD","101","6.7333"
"PEREZ M, 2002, INT J EATING DISORD","101","5.3158"
"WISEMAN CV, 2001, INT J EATING DISORD","101","5.0500"
"LAFAY L, 2001, INT J EATING DISORD","101","5.0500"
"PETERSON CB, 1998, INT J EATING DISORD-a","101","4.3913"
"HAY P, 1998, INT J EATING DISORD-a","101","4.3913"
"O'KEARNEY R, 1996, INT J EATING DISORD","101","4.0400"
"SMITH JE, 1991, INT J EATING DISORD","101","3.3667"
"GARFINKEL PE, 2001, EATING WEIGHT DISORD","101","5.0500"
"GUAL P, 2002, INT J EATING DISORD","100","5.2632"
"SMYTH J, 2001, INT J EATING DISORD","100","5.0000"
"WAUGH E, 1999, INT J EATING DISORD","100","4.5455"
"DARE C, 1994, INT J EATING DISORD","100","3.7037"
"RACITI MC, 1987, INT J EATING DISORD","100","2.9412"
"WURTMAN J, 1985, INT J EATING DISORD","100","2.7778"
"BULIK CM, 2007, INT J EATING DISORD","99","7.0714"
"STUNKARD AJ, 2003, INT J EATING DISORD","99","5.5000"
"CERVERA S, 2003, INT J EATING DISORD","99","5.5000"
"BLAIS MA, 2000, INT J EATING DISORD","99","4.7143"
"CALDWELL MB, 1997, INT J EATING DISORD","99","4.1250"
"PYLE RL, 1986, INT J EATING DISORD","99","2.8286"
"WERTHEIM EH, 2002, EATING DISORD","99","5.2105"
"SOH NL, 2006, EUR EATING DISORD REV","99","6.6000"
"OSWALD KD, 2011, INT J EATING DISORD","98","9.8000"
"DAVIS C, 1999, INT J EATING DISORD","98","4.4545"
"GARNER DM, 1993, INT J EATING DISORD","98","3.5000"
"CORSTORPHINE E, 2006, EUR EATING DISORD REV","98","6.5333"
"HAIGH R, 2003, EUR EATING DISORD REV","98","5.4444"
"STROBER M, 2007, INT J EATING DISORD","97","6.9286"
"CARTER WP, 2003, INT J EATING DISORD","97","5.3889"
"BLAKE WOODSIDE D, 2002, INT J EATING DISORD","97","5.1053"
"ADAMI GF, 1999, INT J EATING DISORD","97","4.4091"
"DAVIS C, 1997, INT J EATING DISORD","97","4.0417"
"YANOVSKI SZ, 1994, INT J EATING DISORD","97","3.5926"
"LINDBERG L, 1991, INT J EATING DISORD","97","3.2333"
"FICHTER MM, 2016, INT J EATING DISORD","96","19.2000"
"DOYLE PM, 2010, INT J EATING DISORD","96","8.7273"
"WILSON GT, 2009, INT J EATING DISORD","96","8.0000"
"STEINGLASS J, 2006, INT J EATING DISORD","96","6.4000"
"WALLER G, 2003, INT J EATING DISORD","96","5.3333"
"WONG JCH, 2001, INT J EATING DISORD","96","4.8000"
"ROSS HE, 1999, INT J EATING DISORD","96","4.3636"
"HERZOG DB, 1993, INT J EATING DISORD","96","3.4286"
"HERBOZO S, 2004, EATING DISORD","96","5.6471"
"SCHOLZ M, 2001, EUR EATING DISORD REV-a","96","4.8000"
