"Document","DOI","Year","Local.Citations","Global.Citations"
"NICHOLLS D, 2000, INT J EATING DISORD","3.0.co;2-%23"" target=""_blank"">10.1002/1098-108x(200011)28:33.0.co;2-%23","2000","36","198"
"ROSSITER EM, 1993, INT J EATING DISORD","3.0.CO;2-C"" target=""_blank"">10.1002/1098-108X(199305)13:43.0.CO;2-C","1993","36","127"
"LE GRANGE D, 2014, INT J EATING DISORD-a","10.1002/eat.22221","2014","35","81"
"WONDERLICH SA, 2009, INT J EATING DISORD","10.1002/eat.20719","2009","35","182"
"ADKINS EC, 2005, INT J EATING DISORD","10.1002/eat.20140","2005","35","122"
"AGRAS WS, 2004, INT J EATING DISORD","10.1002/eat.10261","2004","35","131"
"KEEL PK, 2001, INT J EATING DISORD-a","10.1002/eat.1021","2001","35","90"
"COOPER PJ, 1993, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/1098-108X(199305)13:43.0.CO;2-W","1993","35","144"
"DOYLE PM, 2010, INT J EATING DISORD","10.1002/eat.20764","2010","34","96"
"LOPEZ C, 2008, INT J EATING DISORD","10.1002/eat.20478","2008","34","134"
"SHAPIRO JR, 2007, INT J EATING DISORD","10.1002/eat.20372","2007","34","242"
"REAS DL, 2002, INT J EATING DISORD","10.1002/eat.10012","2002","34","176"
"CRAGO M, 1996, INT J EATING DISORD","3.0.CO;2-N"" target=""_blank"">10.1002/(SICI)1098-108X(199604)19:33.0.CO;2-N","1996","34","239"
"STRIEGELÂ€MOORE RH, 1989, INT J EATING DISORD","3.0.CO;2-A"" target=""_blank"">10.1002/1098-108X(198909)8:53.0.CO;2-A","1989","34","203"
"STRIEGEL-MOORE RH, 2009, INT J EATING DISORD","10.1002/eat.20625","2009","33","257"
"HEPWORTH N, 2007, INT J EATING DISORD","10.1002/eat.20402","2007","33","110"
"CACHELIN FM, 2006, INT J EATING DISORD","10.1002/eat.20213","2006","33","118"
"ENGEL SG, 2006, INT J EATING DISORD","10.1002/eat.20200","2006","33","106"
"SHAFRAN R, 2004, INT J EATING DISORD","10.1002/eat.10228","2004","33","170"
"RIEGER E, 2002, INT J EATING DISORD","10.1002/eat.10072","2002","33","186"
"SMOLAK L, 2000, INT J EATING DISORD","3.0.CO;2-Y"" target=""_blank"">10.1002/(SICI)1098-108X(200005)27:43.0.CO;2-Y","2000","33","354"
"SMOLAK L, 1994, INT J EATING DISORD","3.0.CO;2-U"" target=""_blank"">10.1002/1098-108X(199411)16:33.0.CO;2-U","1994","33","133"
"NICELY TA, 2014, J EATING DISORD","10.1186/s40337-014-0021-3","2014","33","93"
"NORRIS ML, 2014, INT J EATING DISORD","10.1002/eat.22217","2014","32","86"
"DANNER UN, 2012, INT J EATING DISORD","10.1002/eat.22007","2012","32","88"
"WILDES JE, 2010, INT J EATING DISORD","10.1002/eat.20730","2010","32","145"
"CACHELIN FM, 2001, INT J EATING DISORD","10.1002/eat.1084","2001","32","111"
"WISEMAN CV, 2001, INT J EATING DISORD","10.1002/eat.1055","2001","32","101"
"PRATT EM, 1998, INT J EATING DISORD","3.0.CO;2-Q"" target=""_blank"">10.1002/(SICI)1098-108X(199811)24:33.0.CO;2-Q","1998","32","95"
"BREWERTON TD, 1995, INT J EATING DISORD","3.0.CO;2-0"" target=""_blank"">10.1002/1098-108X(199505)17:43.0.CO;2-0","1995","32","118"
"SHISSLAK CM, 1995, INT J EATING DISORD","3.0.CO;2-E"" target=""_blank"">10.1002/1098-108X(199511)18:33.0.CO;2-E","1995","32","233"
"SCHOEMAKER C, 1994, INT J EATING DISORD","10.1002/eat.2260150409","1994","32","189"
"CONNORS ME, 1993, INT J EATING DISORD","3.0.CO;2-P"" target=""_blank"">10.1002/1098-108X(199301)13:13.0.CO;2-P","1993","32","140"
"COLLINS ME, 1991, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/1098-108X(199103)10:23.0.CO;2-D","1991","32","457"
"SMINK FRE, 2014, INT J EATING DISORD","10.1002/eat.22316","2014","31","162"
"GEARHARDT AN, 2012, INT J EATING DISORD","10.1002/eat.20957","2012","31","249"
"ATTIA E, 2009, INT J EATING DISORD","10.1002/eat.20720","2009","31","107"
"KYRIACOU O, 2008, INT J EATING DISORD","10.1002/eat.20488","2008","31","104"
"TOZZI F, 2003, INT J EATING DISORD","10.1002/eat.10120","2003","31","136"
"MORGAN CM, 2002, INT J EATING DISORD","10.1002/eat.10038","2002","31","149"
"KAHN C, 2001, INT J EATING DISORD","10.1002/eat.1080","2001","31","86"
"STRIEGEL-MOORE RH, 2001, INT J EATING DISORD-a","3.0.CO;2-8"" target=""_blank"">10.1002/1098-108X(200103)29:23.0.CO;2-8","2001","31","110"
"BULIK CM, 2000, INT J EATING DISORD-a","3.0.CO;2-Q"" target=""_blank"">10.1002/(SICI)1098-108X(200001)27:13.0.CO;2-Q","2000","31","250"
"TILLER JM, 1997, INT J EATING DISORD","3.0.CO;2-4"" target=""_blank"">10.1002/(SICI)1098-108X(199701)21:13.0.CO;2-4","1997","31","132"
"BEUMONT PJV, 1994, INT J EATING DISORD-a","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(199401)15:13.0.CO;2-K","1994","31","129"
"THOMPSON JK, 1991, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/1098-108X(199109)10:53.0.CO;2-K","1991","31","256"
"GELLER J, 2004, EATING DISORD","10.1080/10640260490490438","2004","31","73"
"WAXMAN SE, 2009, EUR EATING DISORD REV","10.1002/erv.952","2009","31","141"
"WOLFE BE, 2009, INT J EATING DISORD","10.1002/eat.20728","2009","30","146"
"SMYTH J, 2001, INT J EATING DISORD","10.1002/eat.1057","2001","30","100"
"HERZOG DB, 2000, INT J EATING DISORD","3.0.CO;2-X"" target=""_blank"">10.1002/(SICI)1098-108X(200007)28:13.0.CO;2-X","2000","30","223"
"NIEGO SH, 1997, INT J EATING DISORD","3.0.CO;2-I"" target=""_blank"">10.1002/(SICI)1098-108X(199711)22:33.0.CO;2-I","1997","30","82"
"TELCH CF, 1996, INT J EATING DISORD","3.0.CO;2-L"" target=""_blank"">10.1002/(SICI)1098-108X(199611)20:33.0.CO;2-L","1996","30","147"
"MARCUS MD, 1992, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/1098-108X(199211)12:33.0.CO;2-W","1992","30","108"
"STROBER M, 1990, INT J EATING DISORD","3.0.CO;2-7"" target=""_blank"">10.1002/1098-108X(199005)9:33.0.CO;2-7","1990","30","159"
"TERENCE WILSON G, 1989, INT J EATING DISORD","3.0.CO;2-V"" target=""_blank"">10.1002/1098-108X(198903)8:23.0.CO;2-V","1989","30","142"
"VAN STRIEN T, 1986, INT J EATING DISORD","3.0.CO;2-6"" target=""_blank"">10.1002/1098-108X(198605)5:43.0.CO;2-6","1986","30","248"
"AKSOYDAN E, 2009, EATING WEIGHT DISORD","10.1007/BF03327792","2009","30","67"
"TANOFSKY-KRAFF M, 2009, INT J EATING DISORD","10.1002/eat.20580","2009","29","154"
"WILFLEY DE, 2007, INT J EATING DISORD","10.1002/eat.20436","2007","29","133"
"MASHEB RM, 2006, INT J EATING DISORD-a","10.1002/eat.20221","2006","29","193"
"STROBER M, 2004, INT J EATING DISORD-a","10.1002/eat.20029","2004","29","112"
"ZIPFEL S, 2002, INT J EATING DISORD","10.1002/eat.10009","2002","29","116"
"SMOLAK L, 1999, INT J EATING DISORD","3.0.CO;2-V"" target=""_blank"">10.1002/(SICI)1098-108X(199904)25:33.0.CO;2-V","1999","29","209"
"STRIEGEL-MOORE RH, 1998, INT J EATING DISORD","3.0.CO;2-3"" target=""_blank"">10.1002/(SICI)1098-108X(199801)23:13.0.CO;2-3","1998","29","131"
"TOBIN DL, 1997, INT J EATING DISORD","3.0.CO;2-X"" target=""_blank"">10.1002/(SICI)1098-108X(199709)22:23.0.CO;2-X","1997","29","67"
"SPURRELL EB, 1997, INT J EATING DISORD","3.0.CO;2-2"" target=""_blank"">10.1002/(SICI)1098-108X(199701)21:13.0.CO;2-2","1997","29","115"
"VANDERLINDEN J, 1993, INT J EATING DISORD","3.0.CO;2-9"" target=""_blank"">10.1002/1098-108X(199303)13:23.0.CO;2-9","1993","29","132"
"FICHTER MM, 1993, INT J EATING DISORD","3.0.CO;2-3"" target=""_blank"">10.1002/1098-108X(199307)14:13.0.CO;2-3","1993","29","93"
"FAIRBURN CG, 1986, INT J EATING DISORD","3.0.CO;2-Z"" target=""_blank"">10.1002/1098-108X(198603)5:33.0.CO;2-Z","1986","29","91"
"TARANIS L, 2011, EUR EATING DISORD REV","10.1002/erv.1108","2011","29","92"
"KEEL PK, 2009, INT J EATING DISORD","10.1002/eat.20718","2009","28","67"
"LUND BC, 2009, INT J EATING DISORD","10.1002/eat.20634","2009","28","63"
"BROWNLEY KA, 2007, INT J EATING DISORD","10.1002/eat.20370","2007","28","207"
"STEWART M-C, 2006, INT J EATING DISORD","10.1002/eat.20262","2006","28","92"
"FICHTER MM, 1999, INT J EATING DISORD","3.0.CO;2-7"" target=""_blank"">10.1002/(SICI)1098-108X(199912)26:43.0.CO;2-7","1999","28","125"
"OGG EC, 1997, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(199707)22:13.0.CO;2-D","1997","28","89"
"HEBEBRAND J, 1996, INT J EATING DISORD","3.0.CO;2-K"" target=""_blank"">10.1002/(SICI)1098-108X(199605)19:43.0.CO;2-K","1996","28","144"
"BULIK CM, 1995, INT J EATING DISORD","3.0.CO;2-V"" target=""_blank"">10.1002/1098-108X(199504)17:33.0.CO;2-V","1995","28","140"
"GARFINKEL PE, 2001, EATING WEIGHT DISORD","","2001","28","101"
"TURNER H, 2004, EUR EATING DISORD REV","10.1002/erv.552","2004","28","129"
"DEJONG H, 2012, INT J EATING DISORD","10.1002/eat.20956","2012","27","88"
"STRIEGEL RH, 2012, INT J EATING DISORD-a","10.1002/eat.20962","2012","27","103"
"BRYANT-WAUGH R, 2010, INT J EATING DISORD","10.1002/eat.20795","2010","27","181"
"GRILO CM, 2009, INT J EATING DISORD","10.1002/eat.20599","2009","27","179"
"LE GRANGE D, 2006, INT J EATING DISORD","10.1002/eat.20304","2006","27","71"
"MOND J, 2006, INT J EATING DISORD-a","10.1002/eat.20265","2006","27","104"
"BIRMINGHAM CL, 2005, INT J EATING DISORD","10.1002/eat.20164","2005","27","201"
"MARCUS MD, 2003, INT J EATING DISORD","10.1002/eat.10205","2003","27","165"
"FELD R, 2001, INT J EATING DISORD","10.1002/eat.1035","2001","27","109"
"SING L, 2000, INT J EATING DISORD","3.0.CO;2-2"" target=""_blank"">10.1002/(SICI)1098-108X(200004)27:33.0.CO;2-2","2000","27","213"
"RIEGER E, 1998, INT J EATING DISORD","3.0.CO;2-W"" target=""_blank"">10.1002/(SICI)1098-108X(199803)23:23.0.CO;2-W","1998","27","122"
"TROOP NA, 1998, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(199809)24:23.0.CO;2-D","1998","27","104"
"BENÂ€TOVIM DI, 1991, INT J EATING DISORD","3.0.CO;2-M"" target=""_blank"">10.1002/1098-108X(199109)10:53.0.CO;2-M","1991","27","92"
"GRAY JJ, 1987, INT J EATING DISORD","3.0.CO;2-U"" target=""_blank"">10.1002/1098-108X(198711)6:63.0.CO;2-U","1987","27","142"
"RAMACCIOTTI CE, 2011, EATING WEIGHT DISORD","10.1007/BF03325318","2011","27","76"
"RICCA V, 2001, EATING WEIGHT DISORD","10.1007/BF03339765","2001","27","106"
"VALBAK K, 2001, EUR EATING DISORD REV","10.1002/erv.390","2001","27","72"
"LINARDON J, 2016, INT J EATING DISORD","10.1002/eat.22595","2016","26","41"
"LE GRANGE D, 2010, INT J EATING DISORD","10.1002/eat.20751","2010","26","149"
"WILLIAMSON DA, 2005, INT J EATING DISORD","10.1002/eat.20074","2005","26","83"
"STRIEGEL-MOOREL RH, 2003, INT J EATING DISORD","10.1002/eat.10202","2003","26","173"
"FASSINO S, 2002, INT J EATING DISORD","10.1002/eat.10099","2002","26","166"
"WALLER G, 2000, INT J EATING DISORD","3.0.CO;2-1"" target=""_blank"">10.1002/1098-108X(200009)28:23.0.CO;2-1","2000","26","129"
"BRAUN DL, 1999, INT J EATING DISORD","3.0.CO;2-B"" target=""_blank"">10.1002/(SICI)1098-108X(199905)25:43.0.CO;2-B","1999","26","142"
"STROBER M, 1999, INT J EATING DISORD","3.0.CO;2-1"" target=""_blank"">10.1002/(SICI)1098-108X(199903)25:23.0.CO;2-1","1999","26","72"
"STEINHAUSEN HÂ€C, 1993, INT J EATING DISORD-a-b","3.0.CO;2-7"" target=""_blank"">10.1002/1098-108X(199312)14:43.0.CO;2-7","1993","26","75"
"FABIAN LJ, 1989, INT J EATING DISORD","3.0.CO;2-9"" target=""_blank"">10.1002/1098-108X(198901)8:13.0.CO;2-9","1989","26","189"
"LINGSWILER VM, 1989, INT J EATING DISORD","3.0.CO;2-O"" target=""_blank"">10.1002/1098-108X(198909)8:53.0.CO;2-O","1989","26","110"
"LANG K, 2014, INT J EATING DISORD","10.1002/eat.22235","2014","25","75"
"WONDERLICH S, 2012, INT J EATING DISORD","10.1002/eat.20978","2012","25","75"
"WALSH BT, 2009, INT J EATING DISORD","10.1002/eat.20722","2009","25","61"
"STROBER M, 2007, INT J EATING DISORD","10.1002/eat.20429","2007","25","97"
"BARDONE-CONE AM, 2007, INT J EATING DISORD","10.1002/eat.20396","2007","25","136"
"HILBERT A, 2007, INT J EATING DISORD","10.1002/eat.20401","2007","25","122"
"COUTURIER JL, 2006, INT J EATING DISORD","10.1002/eat.20241","2006","25","71"
"BINFORD RB, 2005, INT J EATING DISORD","10.1002/eat.20167","2005","25","62"
"RUSSELL CJ, 2002, INT J EATING DISORD","10.1002/eat.10036","2002","25","187"
"REAS DL, 2000, INT J EATING DISORD","3.0.CO;2-Y"" target=""_blank"">10.1002/(SICI)1098-108X(200005)27:43.0.CO;2-Y","2000","25","76"
"LEE AM, 1996, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/(SICI)1098-108X(199609)20:23.0.CO;2-D","1996","25","103"
"THOMPSON JK, 1995, INT J EATING DISORD","3.0.CO;2-D"" target=""_blank"">10.1002/1098-108X(199511)18:33.0.CO;2-D","1995","25","279"
"KUEHNEL RH, 1994, INT J EATING DISORD","10.1002/eat.2260150403","1994","25","117"
"GOLDFEIN JA, 1993, INT J EATING DISORD","3.0.CO;2-H"" target=""_blank"">10.1002/1098-108X(199312)14:43.0.CO;2-H","1993","25","104"
"HSU LKG, 1991, INT J EATING DISORD","3.0.CO;2-I"" target=""_blank"">10.1002/1098-108X(199101)10:13.0.CO;2-I","1991","25","121"
"COOPER Z, 1987, INT J EATING DISORD","3.0.CO;2-9"" target=""_blank"">10.1002/1098-108X(198701)6:13.0.CO;2-9","1987","25","848"
"HERRANZ VALERA J, 2014, EATING WEIGHT DISORD","10.1007/s40519-014-0131-6","2014","25","54"
"MACHADO PPP, 2014, EUR EATING DISORD REV","10.1002/erv.2318","2014","25","81"
"LE GRANGE D, 2001, EUR EATING DISORD REV","10.1002/erv.409","2001","25","65"
"ALI K, 2017, INT J EATING DISORD","10.1002/eat.22598","2017","24","59"
"STICE E, 2013, INT J EATING DISORD","10.1002/eat.22105","2013","24","108"
"BRATLAND-SANDA S, 2010, INT J EATING DISORD","10.1002/eat.20769","2010","24","80"
"WALLIER J, 2009, INT J EATING DISORD","10.1002/eat.20609","2009","24","55"
"LATNER JD, 2008, INT J EATING DISORD","10.1002/eat.20465","2008","24","89"
"STEINHAUSEN H-C, 2008, INT J EATING DISORD","10.1002/eat.20414","2008","24","88"
"CASTRO-FORNIELES J, 2007, INT J EATING DISORD-a","10.1002/eat.20340","2007","24","47"
"WAGNER A, 2006, INT J EATING DISORD","10.1002/eat.20251","2006","24","131"
"REAS DL, 2005, INT J EATING DISORD","10.1002/eat.20092","2005","24","75"
"HOLLIDAY J, 2005, INT J EATING DISORD","10.1002/eat.20056","2005","24","87"
"JACOBI C, 2004, INT J EATING DISORD","10.1002/eat.20048","2004","24","104"
"COHANE GH, 2001, INT J EATING DISORD","10.1002/eat.1033","2001","24","324"
"JOHNSON WG, 1999, INT J EATING DISORD","3.0.CO;2-M"" target=""_blank"">10.1002/(SICI)1098-108X(199911)26:33.0.CO;2-M","1999","24","95"
"FITZGIBBON ML, 1998, INT J EATING DISORD","3.0.CO;2-0"" target=""_blank"">10.1002/(SICI)1098-108X(199807)24:13.0.CO;2-0","1998","24","121"
"VAN FURTH EF, 1996, INT J EATING DISORD","3.0.CO;2-7"" target=""_blank"">10.1002/(SICI)1098-108X(199607)20:13.0.CO;2-7","1996","24","137"
"ELDREDGE KL, 1996, INT J EATING DISORD-a","3.0.CO;2-T"" target=""_blank"">10.1002/(SICI)1098-108X(199601)19:13.0.CO;2-T","1996","24","131"
"GREENO CG, 1995, INT J EATING DISORD","3.0.CO;2-V"" target=""_blank"">10.1002/1098-108X(199503)17:23.0.CO;2-V","1995","24","121"
"DARE C, 1994, INT J EATING DISORD","3.0.CO;2-X"" target=""_blank"">10.1002/1098-108X(199411)16:33.0.CO;2-X","1994","24","100"
"GARNER DM, 1990, INT J EATING DISORD","3.0.CO;2-1"" target=""_blank"">10.1002/1098-108X(199001)9:13.0.CO;2-1","1990","24","72"
